000069098_t.LU,APAM.LU
017046322_t.LU,
017046365_t.LU,
017115758_t.LU,
017290789_t.LU,
017343866_t.LU,
017345621_t.LU,
017345931_t.LU,
017346806_t.LU,
017353551_t.LU,
017473395_t.LU,
017527436_t.LU,
017568868_t.LU,
017574175_t.LU,
017646591_t.LU,
017660314_t.LU,
017660454_t.LU,
017684337_t.LU,
017702319_t.LU,
017707213_t.LU,
017728504_t.LU,
017752502_t.LU,
017760211_t.LU,
017799711_t.LU,
017824678_t.LU,
017863118_t.LU,
017932039_t.LU,
018027828_t.LU,
018072386_t.LU,
018088312_t.LU,
018088347_t.LU,
018088371_t.LU,
018088657_t.LU,
018088894_t.LU,
018089122_t.LU,
018097460_t.LU,
018097567_t.LU,
018098121_t.LU,
018098245_t.LU,
018098911_t.LU,
018099098_t.LU,
018101009_t.LU,
018101254_t.LU,
018118165_t.LU,
018124416_t.LU,
018136988_t.LU,
018145405_t.LU,
018157870_t.LU,
018201283_t.LU,
018278146_t.LU,
018293188_t.LU,
018324016_t.LU,
018324113_t.LU,
018325047_t.LU,
018358336_t.LU,
018358344_t.LU,
018366789_t.LU,
018377322_t.LU,
018476665_t.LU,
018516713_t.LU,
018516756_t.LU,
018516993_t.LU,
018565196_t.LU,
018565315_t.LU,
018565358_t.LU,
018568454_t.LU,
018568489_t.LU,
018590239_t.LU,
018606283_t.LU,
018606313_t.LU,
018620081_t.LU,
018620162_t.LU,
018672413_t.LU,
018720221_t.LU,
018720302_t.LU,
018720345_t.LU,
018736985_t.LU,
018819775_t.LU,
018823101_t.LU,
018851571_t.LU,
018864819_t.LU,
018882302_t.LU,
018882965_t.LU,
018883511_t.LU,
018890712_t.LU,
018890780_t.LU,
018890836_t.LU,
018930218_t.LU,
018954672X.LU,
019085767_t.LU,
019159116_t.LU,
019159213_t.LU,
019159256_t.LU,
019246663_t.LU,
019246973_t.LU,
019264416_t.LU,
019264505_t.LU,
019264645_t.LU,
019323501_t.LU,
019333078_t.LU,
019523241_t.LU,
019523314_t.LU,
019523381_t.LU,
019566510_t.LU,
019607585_t.LU,
019677907_t.LU,
019738990_t.LU,
019739066_t.LU,
019746402_t.LU,
019751287_t.LU,
019751368_t.LU,
019751392_t.LU,
019752453_t.LU,
019752542_t.LU,
019752666_t.LU,
019753662_t.LU,
019753727_t.LU,
019754979_t.LU,
019806111_t.LU,
019841804_t.LU,
019854728_t.LU,
019860957_t.LU,
019871649_t.LU,
019880915_t.LU,
019925153_t.LU,
019925188_t.LU,
019925200_t.LU,
020000848_t.LU,
020023082_t.LU,
020031492_t.LU,
020031514_t.LU,
020031557_t.LU,
020067179_t.LU,
020067187_t.LU,
020067225_t.LU,
020078979_t.LU,
020113332_t.LU,
020139030_t.LU,
020196793_t.LU,
020215518_t.LU,
020215658_t.LU,
020215747_t.LU,
020222395_t.LU,
020242043_t.LU,
020290196_t.LU,
020290382_t.LU,
020340738_t.LU,
020340754_t.LU,
020351420_t.LU,
020351748_t.LU,
020351772_t.LU,
020351845_t.LU,
020351926_t.LU,
020352027_t.LU,
020352167_t.LU,
020352680_t.LU,
020352833_t.LU,
020354313_t.LU,
020354500_t.LU,
020354577_t.LU,
020377321_t.LU,
020377445_t.LU,
020377780_t.LU,
020377852_t.LU,
020377909_t.LU,
020378387_t.LU,
020378581_t.LU,
020378646_t.LU,
020378735_t.LU,
020378786_t.LU,
020378859_t.LU,
020379022_t.LU,
020379103_t.LU,
020379154_t.LU,
020379618_t.LU,
020380535_t.LU,
020380616_t.LU,
020380713_t.LU,
020381558_t.LU,
020382350_t.LU,
020382414_t.LU,
020382597_t.LU,
020383348_t.LU,
020383364_t.LU,
020383402_t.LU,
020419776_t.LU,
020448555_t.LU,
020553782_t.LU,
020574364_t.LU,
020574437_t.LU,
020587695_t.LU,
020587725_t.LU,
020620455_t.LU,
020666021_t.LU,
020669411_t.LU,
020689528_t.LU,
020752254_t.LU,
020752378_t.LU,
020752394_t.LU,
020752599_t.LU,
020752645_t.LU,
020752670_t.LU,
020763205_t.LU,
020775882_t.LU,
020819014_t.LU,
020868902_t.LU,
020887117_t.LU,
021042862_t.LU,
021050911_t.LU,
021051136_t.LU,
021061492_t.LU,
021061638_t.LU,
021061727_t.LU,
021093165_t.LU,
021105341_t.LU,
021149063_t.LU,
021205257_t.LU,
021205281_t.LU,
021205290_t.LU,
021240931_t.LU,
021284092_t.LU,
021284149_t.LU,
021303453_t.LU,
021324159_t.LU,
021376370_t.LU,
021376442_t.LU,
021378780_t.LU,
021378836_t.LU,
021413780_t.LU,
021448023_t.LU,
021448753_t.LU,
021448788_t.LU,
021489964_t.LU,
021549479_t.LU,
021549550_t.LU,
021562165_t.LU,
021585777_t.LU,
021627909_t.LU,
021627950_t.LU,
021628000_t.LU,
021630438_t.LU,
021630543_t.LU,
021652890_t.LU,
021691372_t.LU,
021695688_t.LU,
021741825_t.LU,
021742031_t.LU,
021758523_t.LU,
021769231_t.LU,
021777013_t.LU,
021844497_t.LU,
021849553_t.LU,
021894729_t.LU,
021925411_t.LU,
022027778_t.LU,
022027808_t.LU,
022027816_t.LU,
022059696_t.LU,
022123033_t.LU,
022129074_t.LU,
022129112_t.LU,
022129180_t.LU,
022130170_t.LU,
022160621_t.LU,
022243909_t.LU,
022259253_t.LU,
022271318_t.LU,
022289055_t.LU,
022305590_t.LU,
022312359_t.LU,
022380516_t.LU,
022380591_t.LU,
022399624_t.LU,
022399659_t.LU,
022399705_t.LU,
022402153_t.LU,
022402463_t.LU,
022470019_t.LU,
022506951_t.LU,
022507257_t.LU,
022515098_t.LU,
022526316_t.LU,
022526464_t.LU,
022551167_t.LU,
022564102_t.LU,
022578693_t.LU,
022604945_t.LU,
022650327_t.LU,
022650629_t.LU,
022658727_t.LU,
022658760_t.LU,
022658816_t.LU,
022672371_t.LU,
022672428_t.LU,
022678957_t.LU,
022696823_t.LU,
022736566_t.LU,
022804146_t.LU,
022821601_t.LU,
022821628_t.LU,
022821687_t.LU,
022870122_t.LU,
022902334_t.LU,
022947354_t.LU,
022962833_t.LU,
023059845_t.LU,
023061228_t.LU,
023061279_t.LU,
023061295_t.LU,
023072955_t.LU,
023103940_t.LU,
023118459_t.LU,
023173620_t.LU,
023173697_t.LU,
023173743_t.LU,
023173972_t.LU,
023193426_t.LU,
023193647_t.LU,
023194252_t.LU,
023201992_t.LU,
023230046_t.LU,
023262894_t.LU,
023273659_t.LU,
023297779_t.LU,
023297868_t.LU,
023349507_t.LU,
023353644_t.LU,
023368676_t.LU,
023368773_t.LU,
023368811_t.LU,
023379007_t.LU,
023379104_t.LU,
023379171_t.LU,
023390167_t.LU,
023410770_t.LU,
023414813_t.LU,
023438399_t.LU,
023534452_t.LU,
023545586_t.LU,
023545616_t.LU,
023545632_t.LU,
023572532_t.LU,
023572699_t.LU,
023595508_t.LU,
023595630_t.LU,
023606933_t.LU,
023614758_t.LU,
023619997_t.LU,
023636751_t.LU,
023636778_t.LU,
023636808_t.LU,
023679426_t.LU,
023696240_t.LU,
023755378_t.LU,
023755394_t.LU,
023755645_t.LU,
023755785_t.LU,
023784343_t.LU,
023801566_t.LU,
023801574_t.LU,
023802619_t.LU,
023802830_t.LU,
023802988_t.LU,
023803054_t.LU,
023811146_t.LU,
023843188_t.LU,
023863928_t.LU,
023864037_t.LU,
023921693_t.LU,
023945398_t.LU,
023976331_t.LU,
023976374_t.LU,
024015033_t.LU,
024015068_t.LU,
024015084_t.LU,
024015106_t.LU,
024031144_t.LU,
024031390_t.LU,
024031462_t.LU,
024036448_t.LU,
024051412_t.LU,
024052648_t.LU,
024059642_t.LU,
024060047_t.LU,
024090582_t.LU,
024101983_t.LU,
024104729_t.LU,
024107230_t.LU,
024107957_t.LU,
024119971_t.LU,
024120210_t.LU,
024124959_t.LU,
024124991_t.LU,
024141241_t.LU,
024190498_t.LU,
024196674_t.LU,
024204723_t.LU,
024204774_t.LU,
024204863_t.LU,
024205126_t.LU,
024205169_t.LU,
024205185_t.LU,
024248602_t.LU,
024282791_t.LU,
024282864_t.LU,
024283224_t.LU,
024384438_t.LU,
024413047_t.LU,
024413080_t.LU,
024452123_t.LU,
024494888_t.LU,
024495159_t.LU,
024495370_t.LU,
024540618_t.LU,
024581110_t.LU,
024581454_t.LU,
024581519_t.LU,
024581578_t.LU,
024587614_t.LU,
024587657_t.LU,
024667715_t.LU,
024678091_t.LU,
024678130_t.LU,
024678164_t.LU,
024678199_t.LU,
024678245_t.LU,
024678318_t.LU,
024678385_t.LU,
024678458_t.LU,
024678512_t.LU,
024678563_t.LU,
024678679_t.LU,
024678725_t.LU,
024678750_t.LU,
024678784_t.LU,
024692027_t.LU,
024715213_t.LU,
024741966_t.LU,
024763200_t.LU,
024832449_t.LU,
024835286_t.LU,
024835391_t.LU,
024835600_t.LU,
024835740_t.LU,
024842525_t.LU,
024848817_t.LU,
024848892_t.LU,
024849392_t.LU,
024849473_t.LU,
024849520_t.LU,
024865398_t.LU,
024868664_t.LU,
024881946_t.LU,
024884465_t.LU,
024895670_t.LU,
024900843_t.LU,
024934799_t.LU,
025013158_t.LU,
025013646_t.LU,
025013786_t.LU,
025037383_t.LU,
025037774_t.LU,
025037944_t.LU,
025038355_t.LU,
025122437_t.LU,
025123131_t.LU,
025140648_t.LU,
025141555_t.LU,
025141610_t.LU,
025141792_t.LU,
025210115_t.LU,
025210590_t.LU,
025213866X.LU,
025233441_t.LU,
025233646_t.LU,
025233751_t.LU,
025238630_t.LU,
025257146_t.LU,
025257243_t.LU,
025272196_t.LU,
025288572_t.LU,
025309383_t.LU,
025324145_t.LU,
025343352_t.LU,
025343441_t.LU,
025343603_t.LU,
025357116_t.LU,
025357183_t.LU,
025386108_t.LU,
025398521_t.LU,
025411692_t.LU,
025428935_t.LU,
025447824_t.LU,
025460367_t.LU,
025495721_t.LU,
025699513_t.LU,
025727223_t.LU,
025741307_t.LU,
025838769_t.LU,
025874838_t.LU,
025941284_t.LU,
025997174_t.LU,
025997344_t.LU,
026013933_t.LU,
026014034_t.LU,
026020654_t.LU,
026025524_t.LU,
026059038_t.LU,
026059097_t.LU,
026109370_t.LU,
026170559_t.LU,
026234247_t.LU,
026252172_t.LU,
026319862_t.LU,
026328764_t.LU,
026352606_t.LU,
026396310_t.LU,
026396573_t.LU,
026413753_t.LU,
026441064_t.LU,
026479886_t.LU,
026480086_t.LU,
026582083_t.LU,
026603919_t.LU,
026603994_t.LU,
026686694_t.LU,
026693870_t.LU,
026710545_t.LU,
026732603_t.LU,
026747767_t.LU,
026764378_t.LU,
026779529_t.LU,
026817960_t.LU,
026827329_t.LU,
026836603_t.LU,
026860636_t.LU,
026869129_t.LU,
026874360_t.LU,
026874505_t.LU,
026874564_t.LU,
026874645_t.LU,
026874688_t.LU,
026874904_t.LU,
026875056_t.LU,
026875145_t.LU,
026875161_t.LU,
026875269_t.LU,
026875579_t.LU,
026875641_t.LU,
026875773_t.LU,
026875889_t.LU,
026875919_t.LU,
026875943_t.LU,
026875994_t.LU,
026882206_t.LU,
026882222_t.LU,
026882249_t.LU,
026882257_t.LU,
026882281_t.LU,
026882311_t.LU,
026882320_t.LU,
026882338_t.LU,
026882346_t.LU,
026882354_t.LU,
026882362_t.LU,
026882397_t.LU,
026882427_t.LU,
026882435_t.LU,
026882443_t.LU,
026882460_t.LU,
026885094_t.LU,
026885124_t.LU,
026885132_t.LU,
026885248_t.LU,
026885361_t.LU,
026885388_t.LU,
026885434_t.LU,
026885477_t.LU,
026885523_t.LU,
026885558_t.LU,
026885701_t.LU,
026885744_t.LU,
026885779_t.LU,
026885892_t.LU,
026885949_t.LU,
026885981_t.LU,
026886015_t.LU,
026886040_t.LU,
026886082_t.LU,
026886201_t.LU,
026886210_t.LU,
026886252_t.LU,
026886309_t.LU,
026886619_t.LU,
026886635_t.LU,
026886660_t.LU,
026886864_t.LU,
026886902_t.LU,
026886937_t.LU,
026886970_t.LU,
026887020_t.LU,
026887275_t.LU,
026887313_t.LU,
026887330_t.LU,
026889405_t.LU,
026889421_t.LU,
026889430_t.LU,
026889499_t.LU,
026889502_t.LU,
026889596_t.LU,
026921007_t.LU,
026921058_t.LU,
026932149_t.LU,
026937299_t.LU,
026956358_t.LU,
026956412_t.LU,
026956528_t.LU,
026964903_t.LU,
026965853_t.LU,
026980992_t.LU,
027076386_t.LU,
027097278_t.LU,
027097391_t.LU,
027118569_t.LU,
027119735_t.LU,
027130577_t.LU,
027161634_t.LU,
027161839_t.LU,
027172415_t.LU,
027179223_t.LU,
027200923_t.LU,
027268226_t.LU,
027282814_t.LU,
027284035_t.LU,
027304214_t.LU,
027318339_t.LU,
027319238_t.LU,
027330118_t.LU,
027360335_t.LU,
027360408_t.LU,
027360521_t.LU,
027407129_t.LU,
027408338_t.LU,
027423329_t.LU,
027457045_t.LU,
027465609_t.LU,
027476643_t.LU,
027485537_t.LU,
027491782_t.LU,
027491936_t.LU,
027502717_t.LU,
027527523_t.LU,
027527558_t.LU,
027527604_t.LU,
027531822_t.LU,
027552757_t.LU,
027577199_t.LU,
027577440_t.LU,
027623727_t.LU,
027628834_t.LU,
027653430_t.LU,
027664229_t.LU,
027664644_t.LU,
027698417_t.LU,
027716113_t.LU,
027716253_t.LU,
027716334_t.LU,
027731490_t.LU,
027731546_t.LU,
027757367_t.LU,
027777627_t.LU,
027777724_t.LU,
027829171_t.LU,
027831699_t.LU,
027831877_t.LU,
027835252_t.LU,
027844227_t.LU,
027847919_t.LU,
027860818_t.LU,
027886299_t.LU,
027903053_t.LU,
027903100_t.LU,
027908497_t.LU,
027920934_t.LU,
027933483_t.LU,
027941443_t.LU,
027993184_t.LU,
027994741_t.LU,
027994865_t.LU,
027996469_t.LU,
027996540_t.LU,
027997899_t.LU,
028026684_t.LU,
028032200_t.LU,
028032315_t.LU,
028039875_t.LU,
028039921_t.LU,
028040075_t.LU,
028040288_t.LU,
028040954_t.LU,
028041055_t.LU,
028041080_t.LU,
028073160_t.LU,
028073216_t.LU,
028073356_t.LU,
028073445_t.LU,
028073470_t.LU,
028105223_t.LU,
028105541_t.LU,
028105576_t.LU,
028141467_t.LU,
028143303_t.LU,
028166826_t.LU,
028167881_t.LU,
028174527_t.LU,
028174659_t.LU,
028174721_t.LU,
028174756_t.LU,
028212739_t.LU,
028246960_t.LU,
028256540_t.LU,
028256655_t.LU,
028256736_t.LU,
028280505_t.LU,
028280556_t.LU,
028280602_t.LU,
028283997_t.LU,
028324081_t.LU,
028334079_t.LU,
028334460_t.LU,
028334575_t.LU,
028334702_t.LU,
028363044_t.LU,
028363095_t.LU,
028363117_t.LU,
028363133_t.LU,
028363150_t.LU,
028363176_t.LU,
028363214_t.LU,
028367970_t.LU,
028368020_t.LU,
028369999_t.LU,
028370059_t.LU,
028378742_t.LU,
028390378_t.LU,
028390513_t.LU,
028394080_t.LU,
028400276_t.LU,
028400306_t.LU,
028400446_t.LU,
028400543_t.LU,
028400586_t.LU,
028400616_t.LU,
028400667_t.LU,
028400683_t.LU,
028400888_t.LU,
028409621_t.LU,
028410140_t.LU,
028412185_t.LU,
028412746_t.LU,
028415303_t.LU,
028415460_t.LU,
028427085_t.LU,
028436904_t.LU,
028460864_t.LU,
028462859_t.LU,
028488394_t.LU,
028492014_t.LU,
028492103_t.LU,
028492227_t.LU,
028494475_t.LU,
028494530_t.LU,
028494734_t.LU,
028515391_t.LU,
028515448_t.LU,
028532580_t.LU,
028532784_t.LU,
028532954_t.LU,
028533012_t.LU,
028533918_t.LU,
028533969_t.LU,
028533993_t.LU,
028534043_t.LU,
028534116_t.LU,
028534213_t.LU,
028534817_t.LU,
028536518_t.LU,
028537107_t.LU,
028537140_t.LU,
028543328_t.LU,
028543859_t.LU,
028546122_t.LU,
028546297_t.LU,
028554516_t.LU,
028554907_t.LU,
028554982_t.LU,
028555067_t.LU,
028555504_t.LU,
028555750_t.LU,
028555849_t.LU,
028555881_t.LU,
028556233_t.LU,
028556297_t.LU,
028556420_t.LU,
028574584_t.LU,
028587228_t.LU,
028621850_t.LU,
028639635_t.LU,
028650477_t.LU,
028672306_t.LU,
028672390_t.LU,
028674031_t.LU,
028674074_t.LU,
028674082_t.LU,
028674104_t.LU,
028674180_t.LU,
028674201_t.LU,
028674244_t.LU,
028674287_t.LU,
028674503_t.LU,
028674554_t.LU,
028674635_t.LU,
028674708_t.LU,
028675577_t.LU,
028675607_t.LU,
028675666_t.LU,
028676689_t.LU,
028677138_t.LU,
028677260_t.LU,
028677383_t.LU,
028678690_t.LU,
028685696_t.LU,
028685742_t.LU,
028685777_t.LU,
028685793_t.LU,
028687036_t.LU,
028687320_t.LU,
028687443_t.LU,
028687842_t.LU,
028688105_t.LU,
028688270_t.LU,
028688440_t.LU,
028688679_t.LU,
028688814_t.LU,
028688881_t.LU,
028688954_t.LU,
028689012_t.LU,
028689055_t.LU,
028689110_t.LU,
028689152_t.LU,
028695179_t.LU,
028695306_t.LU,
028695438_t.LU,
028720246_t.LU,
028720319_t.LU,
028731493_t.LU,
028731914_t.LU,
028732082_t.LU,
028732163_t.LU,
028732201_t.LU,
028732228_t.LU,
028732295_t.LU,
028732341_t.LU,
028732392_t.LU,
028732490_t.LU,
028736347_t.LU,
028755333_t.LU,
028763425_t.LU,
028768150_t.LU,
028768214_t.LU,
028768354_t.LU,
028778163_t.LU,
028778813_t.LU,
028778872_t.LU,
028779356_t.LU,
028780516_t.LU,
028780532_t.LU,
028787677_t.LU,
028795556_t.LU,
028802943_t.LU,
028804440_t.LU,
028804555_t.LU,
028804822_t.LU,
028832761_t.LU,
028832826_t.LU,
028832877_t.LU,
028833067_t.LU,
028844336_t.LU,
028859104_t.LU,
028863454_t.LU,
028867182_t.LU,
028867263_t.LU,
028867352_t.LU,
028868928_t.LU,
028869061_t.LU,
028870582_t.LU,
028890184_t.LU,
028892713_t.LU,
028892993_t.LU,
028905106_t.LU,
028905432_t.LU,
028929935_t.LU,
028930033_t.LU,
028970463_t.LU,
028983018_t.LU,
028996411_t.LU,
028997604_t.LU,
029005010_t.LU,
029005117_t.LU,
029011176_t.LU,
029011435_t.LU,
029011524_t.LU,
029011605_t.LU,
029025371_t.LU,
029025533_t.LU,
029053278_t.LU,
029057079_t.LU,
029065284_t.LU,
029065381_t.LU,
029070571_t.LU,
029083894_t.LU,
029084041_t.LU,
029084220_t.LU,
029084513_t.LU,
029084599_t.LU,
029084785_t.LU,
029084823_t.LU,
029084969_t.LU,
029093202_t.LU,
029095051_t.LU,
029142823_t.LU,
029142840_t.LU,
029154074_t.LU,
029156590_t.LU,
029156808_t.LU,
029163324_t.LU,
029163634_t.LU,
029197423_t.LU,
029214174_t.LU,
029217173_t.LU,
029217343_t.LU,
029218382_t.LU,
029257795_t.LU,
029297053_t.LU,
029297525_t.LU,
029297908_t.LU,
029325731_t.LU,
029336202_t.LU,
029336237_t.LU,
029341010_t.LU,
029341044_t.LU,
029341095_t.LU,
029341109_t.LU,
029341125_t.LU,
029341150_t.LU,
029341184_t.LU,
029341222_t.LU,
029341273_t.LU,
029341532_t.LU,
029346607_t.LU,
029347590_t.LU,
029366101_t.LU,
029366209_t.LU,
029366276_t.LU,
029366349_t.LU,
029366586_t.LU,
029367078_t.LU,
029367116_t.LU,
029377286_t.LU,
029378118_t.LU,
029378444_t.LU,
029378584_t.LU,
029378681_t.LU,
029394458_t.LU,
029395187_t.LU,
029408513_t.LU,
029421412_t.LU,
029424055_t.LU,
029444331_t.LU,
029453462_t.LU,
029457379_t.LU,
029458464_t.LU,
029479500_t.LU,
029498687_t.LU,
029511705_t.LU,
029512299_t.LU,
029534535_t.LU,
029534675_t.LU,
029534993_t.LU,
029575045_t.LU,
029586080_t.LU,
029603723_t.LU,
029604517_t.LU,
029604967_t.LU,
029605220_t.LU,
029615225_t.LU,
029624267_t.LU,
029627169_t.LU,
029631182_t.LU,
029631271_t.LU,
029631336_t.LU,
029631891_t.LU,
029631913_t.LU,
029631930_t.LU,
029633258_t.LU,
029677425_t.LU,
029679193_t.LU,
029679355_t.LU,
029685924_t.LU,
029685983_t.LU,
029686017_t.LU,
029686076_t.LU,
029686386_t.LU,
029686530_t.LU,
029686688_t.LU,
029686785_t.LU,
029746702_t.LU,
029761728_t.LU,
029762902_t.LU,
029804923_t.LU,
029818827_t.LU,
029820724_t.LU,
029822603_t.LU,
029822662_t.LU,
029822689_t.LU,
029822760_t.LU,
029822778_t.LU,
029822794_t.LU,
029822905_t.LU,
029822921_t.LU,
029822956_t.LU,
029822974_t.LU,
029823057_t.LU,
029823103_t.LU,
029823111_t.LU,
029823189_t.LU,
029823197_t.LU,
029823235_t.LU,
029823456_t.LU,
029840741_t.LU,
029840768_t.LU,
029845166_t.LU,
029845247_t.LU,
029845603_t.LU,
029853053_t.LU,
029874727_t.LU,
029887055_t.LU,
029901236_t.LU,
029901392_t.LU,
029901520_t.LU,
029901643_t.LU,
029926620_t.LU,
029927847_t.LU,
029945357_t.LU,
029971781_t.LU,
030002130_t.LU,
030014839_t.LU,
030036808_t.LU,
030040538_t.LU,
030043839_t.LU,
030066731_t.LU,
030066855_t.LU,
030066898_t.LU,
030075919_t.LU,
030076818_t.LU,
030084918_t.LU,
030114949_t.LU,
030116763_t.LU,
030122259_t.LU,
030122364_t.LU,
030122879_t.LU,
030122984_t.LU,
030123018_t.LU,
030123042_t.LU,
030123077_t.LU,
030123115_t.LU,
030123158_t.LU,
030123271_t.LU,
030123298_t.LU,
030123336_t.LU,
030123344_t.LU,
030123379_t.LU,
030123395_t.LU,
030123409_t.LU,
030123417_t.LU,
030123492_t.LU,
030123603_t.LU,
030123620_t.LU,
030140311_t.LU,
030144279_t.LU,
030169255_t.LU,
030178319_t.LU,
030180291_t.LU,
030186389_t.LU,
030186770_t.LU,
030187580_t.LU,
030192001_t.LU,
030192125_t.LU,
030192206_t.LU,
030192303_t.LU,
030192346_t.LU,
030204417_t.LU,
030217829_t.LU,
030231589_t.LU,
030259092_t.LU,
030259165_t.LU,
030259211_t.LU,
030262689_t.LU,
030269870_t.LU,
030273419_t.LU,
030278097_t.LU,
030289218_t.LU,
030289722_t.LU,
030289765_t.LU,
030289773_t.LU,
030289846_t.LU,
030289889_t.LU,
030289935_t.LU,
030289986_t.LU,
030290089_t.LU,
030290399_t.LU,
030290437_t.LU,
030290470_t.LU,
030293339_t.LU,
030293444_t.LU,
030311159_t.LU,
030313003_t.LU,
030313305_t.LU,
030316843_t.LU,
030316878_t.LU,
030339037_t.LU,
030353404_t.LU,
030378806_t.LU,
030378881_t.LU,
030435982_t.LU,
030436008_t.LU,
030436016_t.LU,
030445945_t.LU,
030446216_t.LU,
030446674_t.LU,
030478967_t.LU,
030491033_t.LU,
030491904_t.LU,
030491955_t.LU,
030508971_t.LU,
030509307_t.LU,
030509366_t.LU,
030540263_t.LU,
030617665_t.LU,
030617690_t.LU,
030641124_t.LU,
030658647_t.LU,
030659139_t.LU,
030662911_t.LU,
030663039_t.LU,
030663098_t.LU,
030681282_t.LU,
030685202_t.LU,
030685342_t.LU,
030686870_t.LU,
030687523_t.LU,
030694546_t.LU,
030720792_t.LU,
030721080_t.LU,
030721144_t.LU,
030721365_t.LU,
030721497_t.LU,
030721578_t.LU,
030721624_t.LU,
030721691_t.LU,
030724402_t.LU,
030733592_t.LU,
030735307_t.LU,
030760123_t.LU,
030760590_t.LU,
030784740_t.LU,
030808991_t.LU,
030829956_t.LU,
030830024_t.LU,
030836065_t.LU,
030836375_t.LU,
030853245_t.LU,
030876342_t.LU,
030885201_t.LU,
030890426_t.LU,
030909704_t.LU,
030910010_t.LU,
030910338_t.LU,
030912071_t.LU,
030912284_t.LU,
030912349_t.LU,
030912446_t.LU,
030949579_t.LU,
030952456_t.LU,
030952537_t.LU,
030966619_t.LU,
030968484_t.LU,
030968549_t.LU,
030968930_t.LU,
031015260_t.LU,
031017521_t.LU,
031025419_t.LU,
031050936_t.LU,
031076994_t.LU,
031077397_t.LU,
031079039_t.LU,
031094739_t.LU,
031098181_t.LU,
031127866_t.LU,
031129575_t.LU,
031129869_t.LU,
031153808_t.LU,
031158044_t.LU,
031177529_t.LU,
031178061_t.LU,
031248086_t.LU,
031249627_t.LU,
031251834_t.LU,
031259738_t.LU,
031264219_t.LU,
031277787_t.LU,
031279003_t.LU,
031279623_t.LU,
031283604_t.LU,
031285313_t.LU,
031285348_t.LU,
031299926_t.LU,
031304334_t.LU,
031315484_t.LU,
031335183_t.LU,
031341868_t.LU,
031343178_t.LU,
031379725_t.LU,
031380189_t.LU,
031382904_t.LU,
031394791_t.LU,
031399700_t.LU,
031399858_t.LU,
031400171_t.LU,
031403545_t.LU,
031403669_t.LU,
031416523_t.LU,
031421217_t.LU,
031421675_t.LU,
031422507_t.LU,
031437164_t.LU,
031470498_t.LU,
031497434_t.LU,
031514231_t.LU,
031521297_t.LU,
031526841_t.LU,
031539714_t.LU,
031546443_t.LU,
031567947_t.LU,
031571197_t.LU,
031600103_t.LU,
031610923_t.LU,
031611920_t.LU,
031614236_t.LU,
031617243_t.LU,
031627818_t.LU,
031628253_t.LU,
031699029_t.LU,
